"trainer/global_step","phase_reshape_10k_resumed - _step","phase_reshape_10k_resumed - _step__MIN","phase_reshape_10k_resumed - _step__MAX","phase_reshape_10k_resumed - val/loss_epoch","phase_reshape_10k_resumed - val/loss_epoch__MIN","phase_reshape_10k_resumed - val/loss_epoch__MAX","phase_reshape_1M - _step","phase_reshape_1M - _step__MIN","phase_reshape_1M - _step__MAX","phase_reshape_1M - val/loss_epoch","phase_reshape_1M - val/loss_epoch__MIN","phase_reshape_1M - val/loss_epoch__MAX","phase_reshape_10k - _step","phase_reshape_10k - _step__MIN","phase_reshape_10k - _step__MAX","phase_reshape_10k - val/loss_epoch","phase_reshape_10k - val/loss_epoch__MIN","phase_reshape_10k - val/loss_epoch__MAX","phase_train500kids - _step","phase_train500kids - _step__MIN","phase_train500kids - _step__MAX","phase_train500kids - val/loss_epoch","phase_train500kids - val/loss_epoch__MIN","phase_train500kids - val/loss_epoch__MAX","phase_train2402 - _step","phase_train2402 - _step__MIN","phase_train2402 - _step__MAX","phase_train2402 - val/loss_epoch","phase_train2402 - val/loss_epoch__MIN","phase_train2402 - val/loss_epoch__MAX"
"186","","","","","","","","","","","","","586","586","586","0.30987077951431274","0.30987077951431274","0.30987077951431274","2192","2192","2192","0.21320049464702606","0.21320049464702606","0.21320049464702606","","","","","",""
"187","","","","","","","","","","","","","","","","","","","2207","2207","2207","0.2110220044851303","0.2110220044851303","0.2110220044851303","","","","","",""
"188","","","","","","","641","641","641","0.30801156163215637","0.30801156163215637","0.30801156163215637","","","","","","","","","","","","","","","","","",""
"189","","","","","","","","","","","","","","","","","","","2235","2235","2235","0.207763671875","0.207763671875","0.207763671875","615","615","615","0.29095929861068726","0.29095929861068726","0.29095929861068726"
"190","","","","","","","","","","","","","","","","","","","2268","2268","2268","0.2054067701101303","0.2054067701101303","0.2054067701101303","","","","","",""
"192","","","","","","","","","","","","","","","","","","","2282","2282","2282","0.2038198560476303","0.2038198560476303","0.2038198560476303","","","","","",""
"193","","","","","","","","","","","","","","","","","","","2297","2297","2297","0.20158503949642181","0.20158503949642181","0.20158503949642181","","","","","",""
"195","","","","","","","","","","","","","618","618","618","0.28948503732681274","0.28948503732681274","0.28948503732681274","2311","2311","2311","0.19880558550357819","0.19880558550357819","0.19880558550357819","","","","","",""
"196","","","","","","","672","672","672","0.2941425144672394","0.2941425144672394","0.2941425144672394","","","","","","","2326","2326","2326","0.19658954441547394","0.19658954441547394","0.19658954441547394","","","","","",""
"198","","","","","","","","","","","","","","","","","","","2340","2340","2340","0.19392277300357819","0.19392277300357819","0.19392277300357819","640","640","640","0.27398210763931274","0.27398210763931274","0.27398210763931274"
"199","","","","","","","","","","","","","","","","","","","2370","2370","2370","0.19165977835655212","0.19165977835655212","0.19165977835655212","","","","","",""
"201","","","","","","","","","","","","","","","","","","","2386","2386","2386","0.18926532566547394","0.18926532566547394","0.18926532566547394","","","","","",""
