"trainer/global_step","phase_reshape_10k_resumed - _step","phase_reshape_10k_resumed - _step__MIN","phase_reshape_10k_resumed - _step__MAX","phase_reshape_10k_resumed - val/acc_epoch","phase_reshape_10k_resumed - val/acc_epoch__MIN","phase_reshape_10k_resumed - val/acc_epoch__MAX","phase_reshape_1M - _step","phase_reshape_1M - _step__MIN","phase_reshape_1M - _step__MAX","phase_reshape_1M - val/acc_epoch","phase_reshape_1M - val/acc_epoch__MIN","phase_reshape_1M - val/acc_epoch__MAX","phase_reshape_10k - _step","phase_reshape_10k - _step__MIN","phase_reshape_10k - _step__MAX","phase_reshape_10k - val/acc_epoch","phase_reshape_10k - val/acc_epoch__MIN","phase_reshape_10k - val/acc_epoch__MAX","phase_train500kids - _step","phase_train500kids - _step__MIN","phase_train500kids - _step__MAX","phase_train500kids - val/acc_epoch","phase_train500kids - val/acc_epoch__MIN","phase_train500kids - val/acc_epoch__MAX","phase_train2402 - _step","phase_train2402 - _step__MIN","phase_train2402 - _step__MAX","phase_train2402 - val/acc_epoch","phase_train2402 - val/acc_epoch__MIN","phase_train2402 - val/acc_epoch__MAX"
"195","","","","","","","","","","","","","618","618","618","0.8675556182861328","0.8675556182861328","0.8675556182861328","2311","2311","2311","0.913436233997345","0.913436233997345","0.913436233997345","","","","","",""
"196","","","","","","","672","672","672","0.8651012182235718","0.8651012182235718","0.8651012182235718","","","","","","","2326","2326","2326","0.9143661856651306","0.9143661856651306","0.9143661856651306","","","","","",""
"198","","","","","","","","","","","","","","","","","","","2340","2340","2340","0.9155569672584534","0.9155569672584534","0.9155569672584534","640","640","640","0.875965416431427","0.875965416431427","0.875965416431427"
"199","","","","","","","","","","","","","","","","","","","2370","2370","2370","0.9165235161781311","0.9165235161781311","0.9165235161781311","","","","","",""
"201","","","","","","","","","","","","","","","","","","","2386","2386","2386","0.9176051020622253","0.9176051020622253","0.9176051020622253","","","","","",""
"202","","","","","","","","","","","","","","","","","","","2401","2401","2401","0.9186445474624634","0.9186445474624634","0.9186445474624634","","","","","",""
"204","","","","","","","703","703","703","0.8732976317405701","0.8732976317405701","0.8732976317405701","649","649","649","0.8770621418952942","0.8770621418952942","0.8770621418952942","2415","2415","2415","0.919687807559967","0.919687807559967","0.919687807559967","","","","","",""
"205","","","","","","","","","","","","","","","","","","","2430","2430","2430","0.9206469058990479","0.9206469058990479","0.9206469058990479","","","","","",""
"207","","","","","","","","","","","","","","","","","","","2444","2444","2444","0.9216194152832031","0.9216194152832031","0.9216194152832031","672","672","672","0.8857291340827942","0.8857291340827942","0.8857291340827942"
"208","","","","","","","","","","","","","","","","","","","2459","2459","2459","0.9225776195526123","0.9225776195526123","0.9225776195526123","","","","","",""
"210","","","","","","","","","","","","","","","","","","","2490","2490","2490","0.9234274625778198","0.9234274625778198","0.9234274625778198","","","","","",""
