ref	continent	sample	maf_bin	accuracy
REF	AMERICA	LP6005441-DNA_A04	[0.3, 0.51)	0.9700506695620701
REF	AMERICA	LP6005441-DNA_B12	[0.01, 0.03)	0.9898913861705559
REF	AMERICA	LP6005441-DNA_B12	[0.03, 0.06)	0.989361587578469
REF	AMERICA	LP6005441-DNA_B12	[0.06, 0.1)	0.9879968955655491
REF	AMERICA	LP6005441-DNA_B12	[0.1, 0.18)	0.9819610275494909
REF	AMERICA	LP6005441-DNA_B12	[0.18, 0.3)	0.9701081781129776
REF	AMERICA	LP6005441-DNA_B12	[0.3, 0.51)	0.96012788032332
REF	AMERICA	LP6005441-DNA_E10	[0.01, 0.03)	0.9914925141293569
REF	AMERICA	LP6005441-DNA_E10	[0.03, 0.06)	0.9920104230599434
REF	AMERICA	LP6005441-DNA_E10	[0.06, 0.1)	0.9877417365696
REF	AMERICA	LP6005441-DNA_E10	[0.1, 0.18)	0.9817198187488155
REF	AMERICA	LP6005441-DNA_E10	[0.18, 0.3)	0.9645373862034814
REF	AMERICA	LP6005441-DNA_E10	[0.3, 0.51)	0.9618269192101983
REF	AMERICA	LP6005441-DNA_F10	[0.01, 0.03)	0.9884694889534119
REF	AMERICA	LP6005441-DNA_F10	[0.03, 0.06)	0.9916550914709651
REF	AMERICA	LP6005441-DNA_F10	[0.06, 0.1)	0.9841695106263091
REF	AMERICA	LP6005441-DNA_F10	[0.1, 0.18)	0.9799968987439913
REF	AMERICA	LP6005441-DNA_F10	[0.18, 0.3)	0.9705557460099798
REF	AMERICA	LP6005441-DNA_F10	[0.3, 0.51)	0.9607310893955846
REF	AMERICA	LP6005441-DNA_H06	[0.01, 0.03)	0.9895807195516841
REF	AMERICA	LP6005441-DNA_H06	[0.03, 0.06)	0.9889416502460402
REF	AMERICA	LP6005441-DNA_H06	[0.06, 0.1)	0.982691714774769
REF	AMERICA	LP6005441-DNA_H06	[0.1, 0.18)	0.982529591151083
REF	AMERICA	LP6005441-DNA_H06	[0.18, 0.3)	0.9730602216889499
REF	AMERICA	LP6005441-DNA_H06	[0.3, 0.51)	0.9565991072505731
REF	CENTRAL_SOUTH_ASIA	HGDP00001	[0.01, 0.03)	0.976700003584615
REF	CENTRAL_SOUTH_ASIA	HGDP00001	[0.03, 0.06)	0.9810812847928848
REF	CENTRAL_SOUTH_ASIA	HGDP00001	[0.06, 0.1)	0.9800763350662882
REF	CENTRAL_SOUTH_ASIA	HGDP00001	[0.1, 0.18)	0.9778087903378646
REF	CENTRAL_SOUTH_ASIA	HGDP00001	[0.18, 0.3)	0.9642136136822459
