ref	continent	sample	maf_bin	accuracy
noREF	CENTRAL_SOUTH_ASIA	HGDP00021	[0.01, 0.03)	0.9766641574362834
noREF	CENTRAL_SOUTH_ASIA	HGDP00021	[0.03, 0.06)	0.9790569714980994
noREF	CENTRAL_SOUTH_ASIA	HGDP00021	[0.06, 0.1)	0.9768549527424276
noREF	CENTRAL_SOUTH_ASIA	HGDP00021	[0.1, 0.18)	0.9712961527196291
noREF	CENTRAL_SOUTH_ASIA	HGDP00021	[0.18, 0.3)	0.9538528930027044
noREF	CENTRAL_SOUTH_ASIA	HGDP00021	[0.3, 0.51)	0.9424739614750473
noREF	CENTRAL_SOUTH_ASIA	HGDP00023	[0.01, 0.03)	0.9805833363205123
noREF	CENTRAL_SOUTH_ASIA	HGDP00023	[0.03, 0.06)	0.9798214727955982
noREF	CENTRAL_SOUTH_ASIA	HGDP00023	[0.06, 0.1)	0.9828511891472375
noREF	CENTRAL_SOUTH_ASIA	HGDP00023	[0.1, 0.18)	0.9713133819196774
noREF	CENTRAL_SOUTH_ASIA	HGDP00023	[0.18, 0.3)	0.9594141621909876
noREF	CENTRAL_SOUTH_ASIA	HGDP00023	[0.3, 0.51)	0.9426448707121887
noREF	CENTRAL_SOUTH_ASIA	HGDP00039	[0.01, 0.03)	0.9806430799010646
noREF	CENTRAL_SOUTH_ASIA	HGDP00039	[0.03, 0.06)	0.9844192482044988
noREF	CENTRAL_SOUTH_ASIA	HGDP00039	[0.06, 0.1)	0.9799062290689887
noREF	CENTRAL_SOUTH_ASIA	HGDP00039	[0.1, 0.18)	0.9712272359194363
noREF	CENTRAL_SOUTH_ASIA	HGDP00039	[0.18, 0.3)	0.9624233420942367
noREF	CENTRAL_SOUTH_ASIA	HGDP00039	[0.3, 0.51)	0.9548799613946193
noREF	CENTRAL_SOUTH_ASIA	HGDP00052	[0.01, 0.03)	0.9802487722694198
noREF	CENTRAL_SOUTH_ASIA	HGDP00052	[0.03, 0.06)	0.9812751020232366
noREF	CENTRAL_SOUTH_ASIA	HGDP00052	[0.06, 0.1)	0.9702420820974069
noREF	CENTRAL_SOUTH_ASIA	HGDP00052	[0.1, 0.18)	0.9721576127220413
noREF	CENTRAL_SOUTH_ASIA	HGDP00052	[0.18, 0.3)	0.9588808898030702
noREF	CENTRAL_SOUTH_ASIA	HGDP00052	[0.3, 0.51)	0.9403225157839707
noREF	CENTRAL_SOUTH_ASIA	HGDP00068	[0.01, 0.03)	0.9828655410976092
noREF	CENTRAL_SOUTH_ASIA	HGDP00068	[0.03, 0.06)	0.9821688148076364
noREF	CENTRAL_SOUTH_ASIA	HGDP00068	[0.06, 0.1)	0.9839356148800221
noREF	CENTRAL_SOUTH_ASIA	HGDP00068	[0.1, 0.18)	0.9754483899312554
noREF	CENTRAL_SOUTH_ASIA	HGDP00068	[0.18, 0.3)	0.9630613644154954
noREF	CENTRAL_SOUTH_ASIA	HGDP00068	[0.3, 0.51)	0.9536333293119394
noREF	CENTRAL_SOUTH_ASIA	HGDP00086	[0.01, 0.03)	0.9784564648528514
noREF	CENTRAL_SOUTH_ASIA	HGDP00086	[0.03, 0.06)	0.9773341516727504
noREF	CENTRAL_SOUTH_ASIA	HGDP00086	[0.06, 0.1)	0.9784922229664361
noREF	CENTRAL_SOUTH_ASIA	HGDP00086	[0.1, 0.18)	0.9715804345204252
noREF	CENTRAL_SOUTH_ASIA	HGDP00086	[0.18, 0.3)	0.9604426160819717
noREF	CENTRAL_SOUTH_ASIA	HGDP00086	[0.3, 0.51)	0.9512607069610327
noREF	CENTRAL_SOUTH_ASIA	HGDP00092	[0.01, 0.03)	0.9841560024375381
noREF	CENTRAL_SOUTH_ASIA	HGDP00092	[0.03, 0.06)	0.9850868408868215
noREF	CENTRAL_SOUTH_ASIA	HGDP00092	[0.06, 0.1)	0.9838080353820475
noREF	CENTRAL_SOUTH_ASIA	HGDP00092	[0.1, 0.18)	0.9760772557330163
noREF	CENTRAL_SOUTH_ASIA	HGDP00092	[0.18, 0.3)	0.9644135908277148
noREF	CENTRAL_SOUTH_ASIA	HGDP00092	[0.3, 0.51)	0.9429565287328587
noREF	CENTRAL_SOUTH_ASIA	HGDP00099	[0.01, 0.03)	0.9829611308264927
noREF	CENTRAL_SOUTH_ASIA	HGDP00099	[0.03, 0.06)	0.9870250131903392
noREF	CENTRAL_SOUTH_ASIA	HGDP00099	[0.06, 0.1)	0.9826810831499377
noREF	CENTRAL_SOUTH_ASIA	HGDP00099	[0.1, 0.18)	0.9770851639358384
noREF	CENTRAL_SOUTH_ASIA	HGDP00099	[0.18, 0.3)	0.9631946825124749
noREF	CENTRAL_SOUTH_ASIA	HGDP00099	[0.3, 0.51)	0.9444746048980576
noREF	CENTRAL_SOUTH_ASIA	HGDP00100	[0.01, 0.03)	0.9826743616398418
noREF	CENTRAL_SOUTH_ASIA	HGDP00100	[0.03, 0.06)	0.9872080627967826
noREF	CENTRAL_SOUTH_ASIA	HGDP00100	[0.06, 0.1)	0.9841163525021529
