ref	sample	acc	continent
REF	LP6005441-DNA_E02	96.99094865718399	ME
REF	LP6005441-DNA_E08	96.97555579236887	EAS
REF	LP6005441-DNA_E10	97.92788358257934	AMR
REF	LP6005441-DNA_F09	97.17566303496548	EAS
REF	LP6005441-DNA_F10	97.87730702675822	AMR
REF	LP6005441-DNA_F12	97.42685429046506	EAS
REF	LP6005441-DNA_G03	96.6336988715846	EAS
REF	LP6005441-DNA_G05	97.15012102851401	EAS
REF	LP6005441-DNA_G08	97.1912250521412	ME
REF	LP6005441-DNA_G10	97.45442612524378	EUR
REF	LP6005441-DNA_H06	97.85159586794613	AMR
REF	LP6005441-DNA_H09	96.8157068115964	ME
REF	LP6005441-DNA_H12	97.41805836771356	EUR
REF	LP6005442-DNA_B01	97.02460997694453	CSA
REF	LP6005442-DNA_D01	97.27952258437742	EAS
REF	LP6005442-DNA_G01	97.07586314220809	EAS
REF	LP6005443-DNA_A01	96.67243476216332	AFR
REF	LP6005443-DNA_B01	97.56572837852238	EAS
