Population,UMAP1,UMAP2,SP,Color
Puerto Rican,18.311604,-5.639884,AMR,#FB0D0D
Puerto Rican,18.270983,-5.7480626,AMR,#FB0D0D
Puerto Rican,18.212498,-5.710826,AMR,#FB0D0D
Puerto Rican,19.137203,-5.9038553,AMR,#FB0D0D
Puerto Rican,19.10862,-5.9135714,AMR,#FB0D0D
Puerto Rican,19.186886,-5.7961965,AMR,#FB0D0D
Puerto Rican,18.47125,-5.0685425,AMR,#FB0D0D
Puerto Rican,18.570238,-5.1169553,AMR,#FB0D0D
Puerto Rican,18.543625,-5.0053816,AMR,#FB0D0D
Puerto Rican,18.752499,-5.5405827,AMR,#FB0D0D
Puerto Rican,18.715631,-5.109722,AMR,#FB0D0D
Puerto Rican,18.70155,-5.08512,AMR,#FB0D0D
Puerto Rican,18.658611,-5.0661716,AMR,#FB0D0D
Puerto Rican,18.310385,-6.7887664,AMR,#FB0D0D
Puerto Rican,19.082308,-5.462864,AMR,#FB0D0D
Puerto Rican,18.723997,-4.994524,AMR,#FB0D0D
Puerto Rican,18.786287,-5.1159554,AMR,#FB0D0D
Puerto Rican,18.854664,-5.0057197,AMR,#FB0D0D
Puerto Rican,18.430574,-5.311777,AMR,#FB0D0D
Puerto Rican,18.452534,-5.3976493,AMR,#FB0D0D
Puerto Rican,18.38509,-5.386375,AMR,#FB0D0D
Puerto Rican,19.167126,-5.048115,AMR,#FB0D0D
Puerto Rican,19.297262,-5.117793,AMR,#FB0D0D
Puerto Rican,19.299877,-5.1279902,AMR,#FB0D0D
Puerto Rican,18.461533,-4.0338073,AMR,#FB0D0D
Puerto Rican,18.628983,-6.0398617,AMR,#FB0D0D
Puerto Rican,18.280005,-5.8068075,AMR,#FB0D0D
Puerto Rican,18.282318,-5.7310085,AMR,#FB0D0D
Puerto Rican,18.24073,-5.8079157,AMR,#FB0D0D
Puerto Rican,18.748785,-5.9212327,AMR,#FB0D0D
Puerto Rican,18.800293,-5.1341457,AMR,#FB0D0D
Puerto Rican,18.839,-5.8583717,AMR,#FB0D0D
Puerto Rican,18.717594,-4.648614,AMR,#FB0D0D
Puerto Rican,18.770947,-4.70803,AMR,#FB0D0D
Puerto Rican,18.665386,-4.6856594,AMR,#FB0D0D
Puerto Rican,18.611044,-5.77418,AMR,#FB0D0D
Puerto Rican,18.513594,-5.6678395,AMR,#FB0D0D
Puerto Rican,18.598837,-6.198614,AMR,#FB0D0D
Puerto Rican,18.726822,-5.5482984,AMR,#FB0D0D
Puerto Rican,18.842672,-5.53154,AMR,#FB0D0D
Puerto Rican,18.796947,-5.6288276,AMR,#FB0D0D
Puerto Rican,19.432838,-5.199876,AMR,#FB0D0D
Puerto Rican,19.422602,-5.139958,AMR,#FB0D0D
Puerto Rican,19.44053,-5.2420797,AMR,#FB0D0D
Puerto Rican,18.638252,-5.7710915,AMR,#FB0D0D
Puerto Rican,19.03348,-5.6582966,AMR,#FB0D0D
Puerto Rican,18.978365,-5.823614,AMR,#FB0D0D
Puerto Rican,19.05782,-5.6902876,AMR,#FB0D0D
Puerto Rican,19.247837,-4.5854373,AMR,#FB0D0D
Puerto Rican,19.193375,-4.5400195,AMR,#FB0D0D
Puerto Rican,19.245996,-4.517268,AMR,#FB0D0D
Puerto Rican,18.690775,-6.0875177,AMR,#FB0D0D
Puerto Rican,4.32178,-9.673738,AMR,#FB0D0D
Puerto Rican,4.4889636,-9.908944,AMR,#FB0D0D
Puerto Rican,18.52589,-5.0833197,AMR,#FB0D0D
Puerto Rican,18.478672,-5.1980076,AMR,#FB0D0D
Puerto Rican,18.42114,-5.6671762,AMR,#FB0D0D
Puerto Rican,18.531515,-5.493634,AMR,#FB0D0D
Puerto Rican,19.207876,-5.106769,AMR,#FB0D0D
Puerto Rican,18.860678,-5.924732,AMR,#FB0D0D
Puerto Rican,16.869963,1.9421772,AMR,#FB0D0D
Puerto Rican,18.71358,-5.2678714,AMR,#FB0D0D
Puerto Rican,18.336681,-5.274427,AMR,#FB0D0D
Puerto Rican,18.354141,-5.2362227,AMR,#FB0D0D
Puerto Rican,18.323923,-5.327289,AMR,#FB0D0D
Puerto Rican,19.026878,-4.4685993,AMR,#FB0D0D
Puerto Rican,19.011675,-4.770105,AMR,#FB0D0D
Puerto Rican,19.056187,-4.6603327,AMR,#FB0D0D
Puerto Rican,19.319063,-4.7649546,AMR,#FB0D0D
Puerto Rican,19.335924,-4.6732926,AMR,#FB0D0D
Puerto Rican,19.404243,-4.649968,AMR,#FB0D0D
Puerto Rican,18.847168,-5.429349,AMR,#FB0D0D
Puerto Rican,18.764013,-5.3846908,AMR,#FB0D0D
Puerto Rican,18.791391,-5.3797793,AMR,#FB0D0D
Puerto Rican,18.608116,-5.9236984,AMR,#FB0D0D
Puerto Rican,18.571222,-5.9509373,AMR,#FB0D0D
Puerto Rican,18.586662,-5.923456,AMR,#FB0D0D
Puerto Rican,18.963137,-5.1505785,AMR,#FB0D0D
Puerto Rican,19.014935,-5.104728,AMR,#FB0D0D
Puerto Rican,18.967737,-4.97627,AMR,#FB0D0D
Puerto Rican,19.298544,-5.281387,AMR,#FB0D0D
Puerto Rican,19.419205,-5.395722,AMR,#FB0D0D
Puerto Rican,19.379534,-5.309616,AMR,#FB0D0D
Puerto Rican,18.857162,-4.037975,AMR,#FB0D0D
Puerto Rican,19.235727,-5.2993207,AMR,#FB0D0D
Puerto Rican,19.09963,-5.311395,AMR,#FB0D0D
Puerto Rican,19.154926,-5.408813,AMR,#FB0D0D
Puerto Rican,4.3214993,-9.590313,AMR,#FB0D0D
Puerto Rican,4.457773,-9.930393,AMR,#FB0D0D
Puerto Rican,4.409502,-9.816886,AMR,#FB0D0D
Puerto Rican,18.588217,-5.766042,AMR,#FB0D0D
Puerto Rican,18.5965,-5.7365327,AMR,#FB0D0D
Puerto Rican,18.44091,-5.1697607,AMR,#FB0D0D
Puerto Rican,18.893991,-5.9781075,AMR,#FB0D0D
Puerto Rican,19.010044,-5.275329,AMR,#FB0D0D
Puerto Rican,18.948322,-5.3066783,AMR,#FB0D0D
Puerto Rican,18.662416,-5.7978206,AMR,#FB0D0D
Puerto Rican,18.59861,-5.8105125,AMR,#FB0D0D
Puerto Rican,18.512257,-5.006442,AMR,#FB0D0D
